city,city_ascii,lat,lng,country
Tepetitlan,Tepetitlan,20.1842,-99.3808,Mexico
San Marzano di San Giuseppe,San Marzano di San Giuseppe,40.4500,17.5000,Italy
Kanhauli,Kanhauli,26.4815,86.1876,India
Oststeinbek,Oststeinbek,53.5442,10.1664,Germany
Sandiacre,Sandiacre,52.9230,-1.2890,United Kingdom
Tummalacheruvu,Tummalacheruvu,17.7667,80.8000,India
Douar Ait Taleb,Douar Ait Taleb,32.3839,-8.1856,Morocco
Zunilito,Zunilito,14.6167,-91.5167,Guatemala
Whippany,Whippany,40.8233,-74.4184,United States
Napoleon,Napoleon,41.3977,-84.1244,United States
Tiachiv,Tiachiv,48.0114,23.5722,Ukraine
Ấp Tân Ngãi,Ap Tan Ngai,10.2369,106.2878,Vietnam
Shoshong,Shoshong,-23.0333,26.5167,Botswana
Allāhpur,Allahpur,26.3434,77.8195,India
Barhauna,Barhauna,25.3040,85.4216,India
Tarcento,Tarcento,46.2167,13.2167,Italy
Tlumach,Tlumach,48.8667,25.0000,Ukraine
Holywell,Holywell,53.2740,-3.2230,United Kingdom
Melpanaikkādu,Melpanaikkadu,10.2599,79.1169,India
Bīdkhūn,Bidkhun,27.4792,52.6681,Iran
Ladan Kara,Ladan Kara,40.9264,72.9569,Kyrgyzstan
Chachersk,Chachersk,52.9161,30.9161,Belarus
Francisco Caballero Álvarez,Francisco Caballero Alvarez,-24.1543,-54.6659,Paraguay
Metsemotlhaba,Metsemotlhaba,-24.5531,25.8039,Botswana
Partick,Partick,55.8699,-4.3125,United Kingdom
Belišće,Belisce,45.6833,18.4000,Croatia
Tharīke,Tharike,30.8758,75.7756,India
Bargara,Bargara,-24.8205,152.4625,Australia
North Londonderry,North Londonderry,40.3227,-76.5867,United States
L’Epiphanie,L'Epiphanie,45.8483,-73.5061,Canada
San Antonio,San Antonio,12.4140,124.2790,Philippines
Ifield,Ifield,51.1234,-0.2073,United Kingdom
Rewāhi,Rewahi,26.2698,87.2124,India
Mansfield,Mansfield,40.0853,-74.7149,United States
